Id,Label
coronavirus,coronavirus
covid,covid
china,china
say,say
vaccine,vaccine
case,case
new,new
outbreak,outbreak
virus,virus
test,test
trump,trump
death,death
people,people
report,report
president,president
health,health
spread,spread
first,first
state,state
country,country
day,day
world,world
pandemic,pandemic
million,million
positive,positive
rise,rise
late,late
year,year
infection,infection
city,city
global,global
official,official
week,week
two,two
hit,hit
get,get
one,one
take,take
house,house
johnson,johnson
amid,amid
month,month
use,use
hospital,hospital
could,could
trial,trial
may,may
travel,travel
due,due
confirm,confirm
government,government
toll,toll
japan,japan
quarantine,quarantine
accord,accord
ship,ship
fear,fear
record,record
risk,risk
make,make
cruise,cruise
number,number
white,white
india,india
help,help
second,second
high,high
plan,plan
study,study
surge,surge
see,see
time,time
flight,flight
work,work
show,show
close,close
patient,patient
back,back
hong,hong
restriction,restriction
mask,mask
minister,minister
public,public
infect,infect
emergency,emergency
face,face
disease,disease
home,home
national,national
know,know
die,die
continue,continue
shot,shot
follow,follow
doctor,doctor
daily,daily
australia,australia
need,need
three,three
update,update
concern,concern
south,south
economy,economy
around,around
top,top
find,find
supply,supply
evacuate,evacuate
big,big
expert,expert
control,control
since,since
brazil,brazil
least,least
united,united
beyond,beyond
warn,warn
fight,fight
still,still
return,return
set,set
data,data
include,include
authority,authority
start,start
contain,contain
announce,announce
france,france
dos,dos
would,would
medical,medical
drug,drug
market,market
response,response
worker,worker
end,end
last,last
source,source
blood,blood
billion,billion
passenger,passenger
citizen,citizen
call,call
curb,curb
business,business
begin,begin
keep,keep
measure,measure
tell,tell
vaccination,vaccination
company,company
impact,impact
center,center
deadly,deadly
kill,kill
across,across
hubei,hubei
symptom,symptom
outside,outside
suspend,suspend
become,become
many,many
total,total
leave,leave
wave,wave
clot,clot
organization,organization
increase,increase
chief,chief
early,early
rate,rate
demand,demand
large,large
long,long
live,live
effort,effort
korea,korea
come,come
stock,stock
leader,leader
economic,economic
election,election
deal,deal
despite,despite
receive,receive
treatment,treatment
urge,urge
give,give
low,low
medium,medium
campaign,campaign
exclusive,exclusive
third,third
force,force
hold,hold
analysis,analysis
seek,seek
far,far
russia,russia
raise,raise
expect,expect
old,old
bank,bank
stop,stop
canada,canada
rule,rule
province,province
novel,novel
result,result
order,order
part,part
move,move
like,like
nearly,nearly
share,share
york,york
student,student
fall,fall
french,french
administration,administration
grow,grow
epidemic,epidemic
five,five
pause,pause
child,child
thousand,thousand
look,look
international,international
family,family
offer,offer
bring,bring
ban,ban
illness,illness
treat,treat
major,major
way,way
try,try
another,another
remain,remain
resident,resident
even,even
food,food
next,next
among,among
contract,contract
news,news
staff,staff
put,put
lead,lead
air,air
fauci,fauci
head,head
cut,cut
university,university
cause,cause
safe,safe
germany,germany
school,school
scientist,scientist
taiwan,taiwan
singapore,singapore
six,six
debate,debate
sign,sign
nation,nation
slow,slow
change,change
aid,aid
talk,talk
person,person
epicenter,epicenter
issue,issue
level,level
relief,relief
likely,likely
british,british
hope,hope
prevent,prevent
open,open
group,group
ministry,ministry
beijing,beijing
rare,rare
oil,oil
battle,battle
effective,effective
sale,sale
social,social
turn,turn
spike,spike
place,place
delay,delay
effect,effect
declare,declare
presidential,presidential
human,human
recovery,recovery
joe,joe
develop,develop
crisis,crisis
question,question
event,event
ease,ease
step,step
commission,commission
pass,pass
safety,safety
foreign,foreign
stay,stay
hundred,hundred
bad,bad
street,street
central,central
export,export
vaccinate,vaccinate
race,race
without,without
growth,growth
flu,flu
military,military
hour,hour
prime,prime
potential,potential
firm,firm
also,also
several,several
appear,appear
reach,reach
team,team
ask,ask
base,base
investor,investor
negative,negative
drop,drop
life,life
link,link
join,join
job,job
trade,trade
former,former
japanese,japanese
soon,soon
allow,allow
candidate,candidate
claim,claim
wear,wear
lose,lose
care,care
affect,affect
production,production
possible,possible
breaking,breaking
secretary,secretary
dose,dose
confirmed,confirmed
office,office
california,california
variant,variant
watch,watch
service,service
support,support
local,local
man,man
italy,italy
protect,protect
shut,shut
woman,woman
war,war
worry,worry
well,well
contact,contact
meet,meet
push,push
jump,jump
almost,almost
ahead,ahead
bill,bill
post,post
cancel,cancel
good,good
adviser,adviser
regulator,regulator
adult,adult
agency,agency
director,director
single,single
much,much
coverage,coverage
north,north
avoid,avoid
clinical,clinical
antibody,antibody
right,right
small,small
win,win
extend,extend
threat,threat
department,department
federal,federal
full,full
half,half
statement,statement
must,must
fund,fund
asia,asia
system,system
employee,employee
struggle,struggle
track,track
march,march
lady,lady
maker,maker
halt,halt
research,research
boost,boost
resume,resume
consider,consider
mark,mark
four,four
holiday,holiday
impose,impose
diagnose,diagnose
asian,asian
financial,financial
review,review
democratic,democratic
quarter,quarter
catch,catch
already,already
prevention,prevention
surpass,surpass
volunteer,volunteer
poll,poll
past,past
africa,africa
region,region
evacuee,evacuee
wall,wall
break,break
bar,bar
free,free
release,release
governor,governor
stimulus,stimulus
party,party
price,price
population,population
send,send
industry,industry
shortage,shortage
build,build
border,border
behind,behind
strong,strong
general,general
loss,loss
young,young
member,member
protest,protest
diagnosis,diagnosis
age,age
game,game
run,run
want,want
video,video
mike,mike
limit,limit
approve,approve
factory,factory
cost,cost
visit,visit
sell,sell
vice,vice
add,add
target,target
challenge,challenge
union,union
fast,fast
future,future
area,area
seven,seven
court,court
carry,carry
airport,airport
experimental,experimental
near,near
tokyo,tokyo
problem,problem
access,access
temporarily,temporarily
fly,fly
hard,hard
researcher,researcher
police,police
whether,whether
infectious,infectious
benefit,benefit
republican,republican
recover,recover
australian,australian
experience,experience
globally,globally
point,point
provide,provide
yet,yet
today,today
serious,serious
away,away
congress,congress
line,line
think,think
side,side
great,great
severe,severe
winter,winter
rally,rally
stage,stage
story,story
arrive,arrive
drive,drive
condition,condition
clear,clear
reduce,reduce
stand,stand
princess,princess
within,within
less,less
tweet,tweet
washington,washington
decline,decline
hand,hand
diamond,diamond
board,board
pay,pay
nominee,nominee
write,write
senate,senate
community,community
nine,nine
recommend,recommend
senior,senior
handling,handling
animal,animal
dozen,dozen
vote,vote
recent,recent
decision,decision
institute,institute
lunar,lunar
related,related
program,program
term,term
warning,warning
recently,recently
penny,penny
committee,committee
respiratory,respiratory
morning,morning
